UnixTimeStamp,TimeStamp,X,Y,Z
1215697131107,2008-07-10 13:38:51,00.98,01.04,00.91
1215697132125,2008-07-10 13:38:52,01.05,01.43,01.14
1215697133125,2008-07-10 13:38:53,07.00,03.00,03.00
1215697134138,2008-07-10 13:38:54,01.29,01.86,01.43
1215697135154,2008-07-10 13:38:55,01.11,01.39,01.67
1215697136169,2008-07-10 13:38:56,01.15,01.48,01.11
1215697137169,2008-07-10 13:38:57,01.15,02.19,01.04
1215697138169,2008-07-10 13:38:58,01.07,01.36,01.24
1215697139169,2008-07-10 13:38:59,00.80,01.18,00.95
1215697140169,2008-07-10 13:39:00,00.88,01.12,01.05
1215697141184,2008-07-10 13:39:01,01.02,01.05,01.27
1215697142184,2008-07-10 13:39:02,00.98,01.28,00.81
1215697143200,2008-07-10 13:39:03,01.02,01.09,01.23
1215697144215,2008-07-10 13:39:04,01.08,01.50,00.83
1215697145216,2008-07-10 13:39:05,00.80,01.07,00.75
1215697146232,2008-07-10 13:39:06,01.17,00.98,01.02
1215697147247,2008-07-10 13:39:07,01.19,01.42,01.33
1215697148263,2008-07-10 13:39:08,01.00,01.57,00.91
1215697149279,2008-07-10 13:39:09,00.70,01.73,00.83
1215697150279,2008-07-10 13:39:10,01.33,01.29,01.10
1215697151279,2008-07-10 13:39:11,01.89,02.33,01.89
1215697152279,2008-07-10 13:39:12,,,,
1215697153279,2008-07-10 13:39:13,00.96,01.36,01.00
1215697154294,2008-07-10 13:39:14,01.26,01.35,01.04
1215697155294,2008-07-10 13:39:15,01.12,01.26,00.88
1215697156294,2008-07-10 13:39:16,00.93,01.53,00.98
1215697157314,2008-07-10 13:39:17,01.02,01.41,01.00
1215697158314,2008-07-10 13:39:18,00.89,01.24,00.69
1215697159325,2008-07-10 13:39:19,01.25,01.25,00.95
1215697160325,2008-07-10 13:39:20,01.50,01.08,00.85
1215697161325,2008-07-10 13:39:21,01.11,01.11,00.80
1215697162345,2008-07-10 13:39:22,00.88,01.24,01.10
1215697163357,2008-07-10 13:39:23,01.13,01.53,01.16
1215697164357,2008-07-10 13:39:24,00.80,01.16,00.87
1215697165357,2008-07-10 13:39:25,01.10,01.17,01.19
1215697166404,2008-07-10 13:39:26,01.16,01.20,00.77
1215697167404,2008-07-10 13:39:27,01.13,01.35,00.65
1215697168419,2008-07-10 13:39:28,00.76,01.36,01.10
1215697169435,2008-07-10 13:39:29,00.69,01.69,00.88
1215697170435,2008-07-10 13:39:30,01.39,01.11,01.18
1215697171450,2008-07-10 13:39:31,01.27,01.27,00.85
1215697172475,2008-07-10 13:39:32,01.11,01.00,00.89
1215697173497,2008-07-10 13:39:33,01.12,01.14,00.95
1215697174497,2008-07-10 13:39:34,00.91,00.98,00.93
1215697175497,2008-07-10 13:39:35,01.00,01.24,00.86
1215697176513,2008-07-10 13:39:36,01.56,02.11,00.89
1215697177532,2008-07-10 13:39:37,00.91,00.95,01.33
1215697178544,2008-07-10 13:39:38,00.78,01.18,00.80
1215697179545,2008-07-10 13:39:39,00.98,00.98,00.87
1215697180545,2008-07-10 13:39:40,01.44,02.06,01.06
1215697181560,2008-07-10 13:39:41,01.00,00.95,00.97
1215697182560,2008-07-10 13:39:42,01.51,01.70,01.19
1215697183560,2008-07-10 13:39:43,03.21,02.23,01.12
1215697184560,2008-07-10 13:39:44,01.14,01.36,01.00
1215697185591,2008-07-10 13:39:45,01.16,01.28,00.95
1215697186591,2008-07-10 13:39:46,00.87,01.11,00.85
1215697187592,2008-07-10 13:39:47,00.78,01.07,00.51
1215697188607,2008-07-10 13:39:48,00.82,01.13,01.02
1215697189622,2008-07-10 13:39:49,01.45,01.29,01.05
1215697190639,2008-07-10 13:39:50,00.83,01.24,00.93
1215697191654,2008-07-10 13:39:51,01.00,01.40,00.84
1215697192669,2008-07-10 13:39:52,01.21,01.47,00.81
1215697193685,2008-07-10 13:39:53,01.05,01.22,01.14
1215697194716,2008-07-10 13:39:54,01.07,01.21,01.05
1215697195733,2008-07-10 13:39:55,03.04,04.40,01.67
1215697196733,2008-07-10 13:39:56,03.34,02.86,02.09
1215697197747,2008-07-10 13:39:57,00.86,01.33,00.98
1215697198747,2008-07-10 13:39:58,00.80,00.91,00.93
1215697199763,2008-07-10 13:39:59,00.70,01.39,00.84
1215697200764,2008-07-10 13:40:00,01.20,01.39,01.00
1215697201779,2008-07-10 13:40:01,00.98,01.50,00.82
1215697202780,2008-07-10 13:40:02,01.02,01.40,01.02
1215697203794,2008-07-10 13:40:03,01.20,01.18,01.14
1215697204811,2008-07-10 13:40:04,01.80,01.82,01.16
1215697205811,2008-07-10 13:40:05,01.64,01.34,01.11
1215697206825,2008-07-10 13:40:06,01.40,01.71,01.26
