UnixTimeStamp,TimeStamp,X,Y,Z
1215697180545,2008-07-10 13:39:40,,,,
1215697181560,2008-07-10 13:39:41,,,,
1215697182560,2008-07-10 13:39:42,,,,
1215697183560,2008-07-10 13:39:43,,,,
1215697184560,2008-07-10 13:39:44,,,,
1215697185591,2008-07-10 13:39:45,,,,
1215697186591,2008-07-10 13:39:46,,,,
1215697187592,2008-07-10 13:39:47,,,,
1215697188607,2008-07-10 13:39:48,,,,
1215697189622,2008-07-10 13:39:49,,,,
1215697190639,2008-07-10 13:39:50,,,,
1215697191654,2008-07-10 13:39:51,,,,
1215697192669,2008-07-10 13:39:52,,,,
1215697193685,2008-07-10 13:39:53,,,,
1215697194716,2008-07-10 13:39:54,,,,
1215697195733,2008-07-10 13:39:55,,,,
1215697196733,2008-07-10 13:39:56,,,,
1215697197747,2008-07-10 13:39:57,,,,
1215697198747,2008-07-10 13:39:58,,,,
1215697199763,2008-07-10 13:39:59,,,,
1215697200764,2008-07-10 13:40:00,,,,
1215697201779,2008-07-10 13:40:01,,,,
1215697202780,2008-07-10 13:40:02,,,,
1215697203794,2008-07-10 13:40:03,,,,
1215697204811,2008-07-10 13:40:04,,,,
1215697205811,2008-07-10 13:40:05,,,,
1215697206825,2008-07-10 13:40:06,,,,
1215697207826,2008-07-10 13:40:07,,,,
1215697208826,2008-07-10 13:40:08,,,,
1215697209826,2008-07-10 13:40:09,,,,
1215697210842,2008-07-10 13:40:10,,,,
1215697211858,2008-07-10 13:40:11,,,,
1215697212858,2008-07-10 13:40:12,,,,
1215697213858,2008-07-10 13:40:13,,,,
1215697214888,2008-07-10 13:40:14,,,,
1215697215904,2008-07-10 13:40:15,,,,
1215697216904,2008-07-10 13:40:16,,,,
1215697217905,2008-07-10 13:40:17,,,,
1215697218920,2008-07-10 13:40:18,,,,
1215697219936,2008-07-10 13:40:19,,,,
1215697220936,2008-07-10 13:40:20,,,,
1215697221950,2008-07-10 13:40:21,,,,
1215697222967,2008-07-10 13:40:22,,,,
1215697223986,2008-07-10 13:40:23,,,,
1215697224986,2008-07-10 13:40:24,,,,
1215697225998,2008-07-10 13:40:25,,,,
1215697227014,2008-07-10 13:40:27,,,,
1215697228014,2008-07-10 13:40:28,,,,
1215697229014,2008-07-10 13:40:29,,,,
1215697230029,2008-07-10 13:40:30,,,,
1215697231029,2008-07-10 13:40:31,,,,
1215697232045,2008-07-10 13:40:32,,,,
1215697233060,2008-07-10 13:40:33,,,,
1215697234076,2008-07-10 13:40:34,,,,
1215697235092,2008-07-10 13:40:35,,,,
1215697236108,2008-07-10 13:40:36,,,,
1215697237108,2008-07-10 13:40:37,,,,
1215697238123,2008-07-10 13:40:38,,,,
1215697239139,2008-07-10 13:40:39,,,,
1215697240155,2008-07-10 13:40:40,,,,
1215697241155,2008-07-10 13:40:41,,,,
1215697242155,2008-07-10 13:40:42,,,,
1215697243155,2008-07-10 13:40:43,,,,
1215697244170,2008-07-10 13:40:44,,,,
1215697245170,2008-07-10 13:40:45,,,,
1215697246186,2008-07-10 13:40:46,,,,
1215697247311,2008-07-10 13:40:47,,,,
1215697248311,2008-07-10 13:40:48,,,,
1215697249311,2008-07-10 13:40:49,,,,
1215697250311,2008-07-10 13:40:50,,,,
1215697251311,2008-07-10 13:40:51,,,,
1215697252311,2008-07-10 13:40:52,,,,
1215697253311,2008-07-10 13:40:53,,,,
1215697254326,2008-07-10 13:40:54,,,,
1215697255342,2008-07-10 13:40:55,,,,
1215697256405,2008-07-10 13:40:56,,,,
1215697257405,2008-07-10 13:40:57,,,,
1215697258406,2008-07-10 13:40:58,,,,
1215697259436,2008-07-10 13:40:59,,,,
1215697260436,2008-07-10 13:41:00,,,,
1215697261437,2008-07-10 13:41:01,,,,
1215697262467,2008-07-10 13:41:02,,,,
1215697263468,2008-07-10 13:41:03,,,,
1215697264468,2008-07-10 13:41:04,,,,
1215697265483,2008-07-10 13:41:05,,,,
1215697266483,2008-07-10 13:41:06,,,,
1215697267483,2008-07-10 13:41:07,,,,
1215697268483,2008-07-10 13:41:08,,,,
1215697269483,2008-07-10 13:41:09,,,,
1215697270483,2008-07-10 13:41:10,,,,
1215697271498,2008-07-10 13:41:11,,,,
1215697272514,2008-07-10 13:41:12,,,,
1215697273515,2008-07-10 13:41:13,,,,
1215697274530,2008-07-10 13:41:14,,,,
1215697275533,2008-07-10 13:41:15,,,,
1215697276562,2008-07-10 13:41:16,,,,
1215697277593,2008-07-10 13:41:17,,,,
1215697278593,2008-07-10 13:41:18,,,,
1215697279608,2008-07-10 13:41:19,,,,
1215697280609,2008-07-10 13:41:20,,,,
1215697281623,2008-07-10 13:41:21,,,,
1215697282623,2008-07-10 13:41:22,,,,
1215697283623,2008-07-10 13:41:23,,,,
1215697284623,2008-07-10 13:41:24,,,,
1215697285624,2008-07-10 13:41:25,,,,
1215697286639,2008-07-10 13:41:26,,,,
1215697287639,2008-07-10 13:41:27,,,,
1215697288640,2008-07-10 13:41:28,,,,
1215697289655,2008-07-10 13:41:29,,,,
1215697290655,2008-07-10 13:41:30,,,,
1215697291656,2008-07-10 13:41:31,,,,
1215697292656,2008-07-10 13:41:32,,,,
1215697293671,2008-07-10 13:41:33,,,,
1215697294691,2008-07-10 13:41:34,,,,
1215697295706,2008-07-10 13:41:35,,,,
1215697296748,2008-07-10 13:41:36,,,,
1215697297764,2008-07-10 13:41:37,,,,
1215697298769,2008-07-10 13:41:38,,,,
1215697299781,2008-07-10 13:41:39,,,,
1215697300781,2008-07-10 13:41:40,,,,
1215697301811,2008-07-10 13:41:41,,,,
1215697302812,2008-07-10 13:41:42,,,,
1215697303812,2008-07-10 13:41:43,,,,
1215697304812,2008-07-10 13:41:44,,,,
1215697305827,2008-07-10 13:41:45,,,,
1215697306827,2008-07-10 13:41:46,,,,
1215697307827,2008-07-10 13:41:47,,,,
1215697308827,2008-07-10 13:41:48,,,,
1215697309827,2008-07-10 13:41:49,,,,
1215697310827,2008-07-10 13:41:50,,,,
1215697311827,2008-07-10 13:41:51,,,,
1215697312842,2008-07-10 13:41:52,,,,
1215697313842,2008-07-10 13:41:53,,,,
1215697314843,2008-07-10 13:41:54,,,,
1215697315843,2008-07-10 13:41:55,,,,
1215697316859,2008-07-10 13:41:56,,,,
1215697317859,2008-07-10 13:41:57,,,,
1215697318859,2008-07-10 13:41:58,,,,
1215697319862,2008-07-10 13:41:59,,,,
1215697320862,2008-07-10 13:42:00,,,,
1215697321890,2008-07-10 13:42:01,,,,
1215697322905,2008-07-10 13:42:02,,,,
1215697323906,2008-07-10 13:42:03,,,,
1215697324936,2008-07-10 13:42:04,,,,
1215697325937,2008-07-10 13:42:05,,,,
1215697326941,2008-07-10 13:42:06,,,,
1215697327941,2008-07-10 13:42:07,,,,
1215697328952,2008-07-10 13:42:08,,,,
1215697329968,2008-07-10 13:42:09,,,,
1215697330968,2008-07-10 13:42:10,,,,
1215697331968,2008-07-10 13:42:11,,,,
1215697332968,2008-07-10 13:42:12,,,,
1215697333968,2008-07-10 13:42:13,,,,
1215697334968,2008-07-10 13:42:14,,,,
1215697335968,2008-07-10 13:42:15,,,,
1215697336968,2008-07-10 13:42:16,,,,
1215697337968,2008-07-10 13:42:17,,,,
1215697338968,2008-07-10 13:42:18,,,,
1215697339984,2008-07-10 13:42:19,,,,
1215697340984,2008-07-10 13:42:20,,,,
1215697341984,2008-07-10 13:42:21,,,,
1215697342999,2008-07-10 13:42:22,,,,
1215697344005,2008-07-10 13:42:24,,,,
1215697345031,2008-07-10 13:42:25,,,,
1215697346031,2008-07-10 13:42:26,,,,
1215697347031,2008-07-10 13:42:27,,,,
1215697348031,2008-07-10 13:42:28,,,,
1215697349046,2008-07-10 13:42:29,,,,
1215697350046,2008-07-10 13:42:30,,,,
1215697351046,2008-07-10 13:42:31,,,,
1215697352047,2008-07-10 13:42:32,,,,
1215697353062,2008-07-10 13:42:33,,,,
1215697354062,2008-07-10 13:42:34,,,,
1215697355063,2008-07-10 13:42:35,,,,
1215697356063,2008-07-10 13:42:36,,,,
1215697357081,2008-07-10 13:42:37,,,,
1215697358081,2008-07-10 13:42:38,,,,
1215697359085,2008-07-10 13:42:39,,,,
