UnixTimeStamp,TimeStamp,Sampling
1215697300781,2008-07-10 13:41:40,0
1215697301811,2008-07-10 13:41:41,0
1215697302812,2008-07-10 13:41:42,0
1215697303812,2008-07-10 13:41:43,0
1215697304812,2008-07-10 13:41:44,0
1215697305827,2008-07-10 13:41:45,0
1215697306827,2008-07-10 13:41:46,0
1215697307827,2008-07-10 13:41:47,0
1215697308827,2008-07-10 13:41:48,0
1215697309827,2008-07-10 13:41:49,0
1215697310827,2008-07-10 13:41:50,0
1215697311827,2008-07-10 13:41:51,0
1215697312842,2008-07-10 13:41:52,0
1215697313842,2008-07-10 13:41:53,0
1215697314843,2008-07-10 13:41:54,0
1215697315843,2008-07-10 13:41:55,0
1215697316859,2008-07-10 13:41:56,0
1215697317859,2008-07-10 13:41:57,0
1215697318859,2008-07-10 13:41:58,0
1215697319862,2008-07-10 13:41:59,0
1215697320862,2008-07-10 13:42:00,0
1215697321890,2008-07-10 13:42:01,0
1215697322905,2008-07-10 13:42:02,0
1215697323906,2008-07-10 13:42:03,0
1215697324936,2008-07-10 13:42:04,0
1215697325937,2008-07-10 13:42:05,0
1215697326941,2008-07-10 13:42:06,0
1215697327941,2008-07-10 13:42:07,0
1215697328952,2008-07-10 13:42:08,0
1215697329968,2008-07-10 13:42:09,0
1215697330968,2008-07-10 13:42:10,0
1215697331968,2008-07-10 13:42:11,0
1215697332968,2008-07-10 13:42:12,0
1215697333968,2008-07-10 13:42:13,0
1215697334968,2008-07-10 13:42:14,0
1215697335968,2008-07-10 13:42:15,0
1215697336968,2008-07-10 13:42:16,0
1215697337968,2008-07-10 13:42:17,0
1215697338968,2008-07-10 13:42:18,0
1215697339984,2008-07-10 13:42:19,0
1215697340984,2008-07-10 13:42:20,0
1215697341984,2008-07-10 13:42:21,0
1215697342999,2008-07-10 13:42:22,0
1215697344005,2008-07-10 13:42:24,0
1215697345031,2008-07-10 13:42:25,0
1215697346031,2008-07-10 13:42:26,0
1215697347031,2008-07-10 13:42:27,0
1215697348031,2008-07-10 13:42:28,0
1215697349046,2008-07-10 13:42:29,0
1215697350046,2008-07-10 13:42:30,0
1215697351046,2008-07-10 13:42:31,0
1215697352047,2008-07-10 13:42:32,0
1215697353062,2008-07-10 13:42:33,0
1215697354062,2008-07-10 13:42:34,0
1215697355063,2008-07-10 13:42:35,0
1215697356063,2008-07-10 13:42:36,0
1215697357081,2008-07-10 13:42:37,0
1215697358081,2008-07-10 13:42:38,0
1215697359085,2008-07-10 13:42:39,0
1215697360094,2008-07-10 13:42:40,0
1215697361094,2008-07-10 13:42:41,0
1215697362097,2008-07-10 13:42:42,0
1215697363097,2008-07-10 13:42:43,0
1215697364109,2008-07-10 13:42:44,0
1215697365109,2008-07-10 13:42:45,0
1215697366109,2008-07-10 13:42:46,0
1215697367110,2008-07-10 13:42:47,0
1215697368140,2008-07-10 13:42:48,0
1215697369141,2008-07-10 13:42:49,0
1215697370156,2008-07-10 13:42:50,0
1215697371157,2008-07-10 13:42:51,0
1215697372157,2008-07-10 13:42:52,0
1215697373171,2008-07-10 13:42:53,0
1215697374176,2008-07-10 13:42:54,0
1215697375187,2008-07-10 13:42:55,0
1215697376187,2008-07-10 13:42:56,0
1215697377204,2008-07-10 13:42:57,0
1215697378218,2008-07-10 13:42:58,0
1215697379219,2008-07-10 13:42:59,0
1215697380224,2008-07-10 13:43:00,0
1215697381234,2008-07-10 13:43:01,0
1215697382250,2008-07-10 13:43:02,0
1215697383265,2008-07-10 13:43:03,0
1215697384265,2008-07-10 13:43:04,0
1215697385282,2008-07-10 13:43:05,0
1215697386296,2008-07-10 13:43:06,0
1215697387296,2008-07-10 13:43:07,0
1215697388296,2008-07-10 13:43:08,0
1215697389297,2008-07-10 13:43:09,0
1215697390297,2008-07-10 13:43:10,0
1215697391311,2008-07-10 13:43:11,0
1215697392315,2008-07-10 13:43:12,0
1215697393328,2008-07-10 13:43:13,0
1215697394328,2008-07-10 13:43:14,0
1215697395343,2008-07-10 13:43:15,9
1215697396343,2008-07-10 13:43:16,40
1215697397344,2008-07-10 13:43:17,37
1215697398344,2008-07-10 13:43:18,36
1215697399359,2008-07-10 13:43:19,39
1215697400360,2008-07-10 13:43:20,39
1215697401360,2008-07-10 13:43:21,41
1215697402374,2008-07-10 13:43:22,41
1215697403374,2008-07-10 13:43:23,41
1215697404374,2008-07-10 13:43:24,40
1215697405375,2008-07-10 13:43:25,42
1215697406375,2008-07-10 13:43:26,38
1215697407375,2008-07-10 13:43:27,38
1215697408390,2008-07-10 13:43:28,32
1215697409391,2008-07-10 13:43:29,40
1215697410391,2008-07-10 13:43:30,44
1215697411406,2008-07-10 13:43:31,25
1215697412407,2008-07-10 13:43:32,38
1215697413407,2008-07-10 13:43:33,38
1215697414407,2008-07-10 13:43:34,34
1215697415407,2008-07-10 13:43:35,32
1215697416407,2008-07-10 13:43:36,40
1215697417407,2008-07-10 13:43:37,43
1215697418407,2008-07-10 13:43:38,42
1215697419421,2008-07-10 13:43:39,41
1215697420422,2008-07-10 13:43:40,41
1215697421422,2008-07-10 13:43:41,35
1215697422422,2008-07-10 13:43:42,27
1215697423422,2008-07-10 13:43:43,38
1215697424435,2008-07-10 13:43:44,37
1215697425438,2008-07-10 13:43:45,43
1215697426438,2008-07-10 13:43:46,39
1215697427438,2008-07-10 13:43:47,27
1215697428438,2008-07-10 13:43:48,37
1215697429438,2008-07-10 13:43:49,33
1215697430439,2008-07-10 13:43:50,36
1215697431453,2008-07-10 13:43:51,34
1215697432453,2008-07-10 13:43:52,41
1215697433453,2008-07-10 13:43:53,37
1215697434453,2008-07-10 13:43:54,34
1215697435453,2008-07-10 13:43:55,32
1215697436453,2008-07-10 13:43:56,37
1215697437453,2008-07-10 13:43:57,34
1215697438453,2008-07-10 13:43:58,43
1215697439453,2008-07-10 13:43:59,38
1215697440453,2008-07-10 13:44:00,39
1215697441453,2008-07-10 13:44:01,38
1215697442453,2008-07-10 13:44:02,38
1215697443462,2008-07-10 13:44:03,39
1215697444469,2008-07-10 13:44:04,24
1215697445469,2008-07-10 13:44:05,37
1215697446484,2008-07-10 13:44:06,32
1215697447486,2008-07-10 13:44:07,26
1215697448486,2008-07-10 13:44:08,38
1215697449493,2008-07-10 13:44:09,41
1215697450500,2008-07-10 13:44:10,43
1215697451500,2008-07-10 13:44:11,41
1215697452509,2008-07-10 13:44:12,41
1215697453516,2008-07-10 13:44:13,31
1215697454516,2008-07-10 13:44:14,43
1215697455516,2008-07-10 13:44:15,34
1215697456516,2008-07-10 13:44:16,41
1215697457516,2008-07-10 13:44:17,38
1215697458516,2008-07-10 13:44:18,26
1215697459516,2008-07-10 13:44:19,43
1215697460516,2008-07-10 13:44:20,35
1215697461516,2008-07-10 13:44:21,40
1215697462516,2008-07-10 13:44:22,33
1215697463517,2008-07-10 13:44:23,41
1215697464532,2008-07-10 13:44:24,30
1215697465533,2008-07-10 13:44:25,27
1215697466547,2008-07-10 13:44:26,37
1215697467547,2008-07-10 13:44:27,15
1215697468548,2008-07-10 13:44:28,13
1215697469548,2008-07-10 13:44:29,34
1215697470563,2008-07-10 13:44:30,40
1215697471563,2008-07-10 13:44:31,14
1215697472564,2008-07-10 13:44:32,9
1215697473573,2008-07-10 13:44:33,18
1215697474578,2008-07-10 13:44:34,42
1215697475579,2008-07-10 13:44:35,28
1215697476594,2008-07-10 13:44:36,31
1215697477594,2008-07-10 13:44:37,42
1215697478594,2008-07-10 13:44:38,39
1215697479594,2008-07-10 13:44:39,41
1215697480599,2008-07-10 13:44:40,38
1215697481611,2008-07-10 13:44:41,42
1215697482611,2008-07-10 13:44:42,37
1215697483625,2008-07-10 13:44:43,23
1215697484625,2008-07-10 13:44:44,40
1215697485626,2008-07-10 13:44:45,41
1215697486641,2008-07-10 13:44:46,33
1215697487641,2008-07-10 13:44:47,41
1215697488642,2008-07-10 13:44:48,37
1215697489657,2008-07-10 13:44:49,41
1215697490657,2008-07-10 13:44:50,31
1215697491657,2008-07-10 13:44:51,37
1215697492657,2008-07-10 13:44:52,37
1215697493658,2008-07-10 13:44:53,38
1215697494658,2008-07-10 13:44:54,39
1215697495672,2008-07-10 13:44:55,39
1215697496682,2008-07-10 13:44:56,44
1215697497689,2008-07-10 13:44:57,38
1215697498703,2008-07-10 13:44:58,44
1215697499704,2008-07-10 13:44:59,38
1215697500704,2008-07-10 13:45:00,35
1215697501719,2008-07-10 13:45:01,44
1215697502719,2008-07-10 13:45:02,40
1215697503719,2008-07-10 13:45:03,42
1215697504720,2008-07-10 13:45:04,41
1215697505720,2008-07-10 13:45:05,43
1215697506720,2008-07-10 13:45:06,37
1215697507720,2008-07-10 13:45:07,42
1215697508735,2008-07-10 13:45:08,37
1215697509736,2008-07-10 13:45:09,40
1215697510750,2008-07-10 13:45:10,39
1215697511751,2008-07-10 13:45:11,44
1215697512751,2008-07-10 13:45:12,35
1215697513751,2008-07-10 13:45:13,38
1215697514751,2008-07-10 13:45:14,38
1215697515756,2008-07-10 13:45:15,43
1215697516768,2008-07-10 13:45:16,39
1215697517783,2008-07-10 13:45:17,41
1215697518783,2008-07-10 13:45:18,43
1215697519783,2008-07-10 13:45:19,35
1215697520783,2008-07-10 13:45:20,37
1215697521783,2008-07-10 13:45:21,40
1215697522783,2008-07-10 13:45:22,42
1215697523783,2008-07-10 13:45:23,40
1215697524783,2008-07-10 13:45:24,42
1215697525783,2008-07-10 13:45:25,39
