UnixTimeStamp,TimeStamp,X,Y,Z
1215697147247,2008-07-10 13:39:07,01.14,01.18,00.70
1215697148263,2008-07-10 13:39:08,01.14,01.40,00.83
1215697149279,2008-07-10 13:39:09,01.11,01.11,01.20
1215697150279,2008-07-10 13:39:10,00.93,01.38,00.78
1215697151279,2008-07-10 13:39:11,01.10,01.31,00.95
1215697152279,2008-07-10 13:39:12,01.21,01.26,00.95
1215697153279,2008-07-10 13:39:13,01.38,01.17,01.86
1215697154294,2008-07-10 13:39:14,01.24,01.19,00.88
1215697155294,2008-07-10 13:39:15,00.93,01.29,01.07
1215697156294,2008-07-10 13:39:16,00.85,01.02,00.80
1215697157314,2008-07-10 13:39:17,00.75,00.95,01.00
1215697158314,2008-07-10 13:39:18,00.85,01.28,01.00
1215697159325,2008-07-10 13:39:19,01.12,00.86,00.71
1215697160325,2008-07-10 13:39:20,01.14,00.76,01.00
1215697161325,2008-07-10 13:39:21,01.25,01.20,00.75
1215697162345,2008-07-10 13:39:22,01.18,01.05,01.08
1215697163357,2008-07-10 13:39:23,00.90,01.67,00.81
1215697164357,2008-07-10 13:39:24,01.08,00.95,00.95
1215697165357,2008-07-10 13:39:25,00.94,01.17,00.92
1215697166404,2008-07-10 13:39:26,01.03,01.20,01.00
1215697167404,2008-07-10 13:39:27,01.10,01.38,01.00
1215697168419,2008-07-10 13:39:28,01.06,01.27,00.91
1215697169435,2008-07-10 13:39:29,01.00,01.85,01.26
1215697170435,2008-07-10 13:39:30,01.04,00.83,01.08
1215697171450,2008-07-10 13:39:31,00.90,01.82,01.18
1215697172475,2008-07-10 13:39:32,01.02,01.05,00.88
1215697173497,2008-07-10 13:39:33,00.73,01.00,01.00
1215697174497,2008-07-10 13:39:34,00.95,01.41,00.80
1215697175497,2008-07-10 13:39:35,01.17,01.12,00.90
1215697176513,2008-07-10 13:39:36,01.09,00.98,00.82
1215697177532,2008-07-10 13:39:37,01.05,01.20,01.15
1215697178544,2008-07-10 13:39:38,00.87,01.47,00.84
1215697179545,2008-07-10 13:39:39,00.98,01.34,01.07
1215697180545,2008-07-10 13:39:40,01.23,01.23,00.92
1215697181560,2008-07-10 13:39:41,01.00,01.33,01.13
1215697182560,2008-07-10 13:39:42,01.05,01.38,00.48
1215697183560,2008-07-10 13:39:43,00.86,01.07,00.84
1215697184560,2008-07-10 13:39:44,01.30,01.28,01.00
1215697185591,2008-07-10 13:39:45,00.98,01.16,00.98
1215697186591,2008-07-10 13:39:46,01.04,01.36,00.84
1215697187592,2008-07-10 13:39:47,01.83,01.37,01.10
1215697188607,2008-07-10 13:39:48,01.10,01.37,00.83
1215697189622,2008-07-10 13:39:49,00.98,01.09,01.02
1215697190639,2008-07-10 13:39:50,01.00,01.36,00.95
1215697191654,2008-07-10 13:39:51,00.98,01.30,00.74
1215697192669,2008-07-10 13:39:52,00.76,00.98,00.85
1215697193685,2008-07-10 13:39:53,00.86,00.82,00.84
1215697194716,2008-07-10 13:39:54,01.24,01.40,00.73
1215697195733,2008-07-10 13:39:55,01.44,01.81,01.02
1215697196733,2008-07-10 13:39:56,01.12,01.29,01.00
1215697197747,2008-07-10 13:39:57,01.00,01.19,01.12
1215697198747,2008-07-10 13:39:58,01.02,01.34,00.89
1215697199763,2008-07-10 13:39:59,00.93,01.35,01.08
1215697200764,2008-07-10 13:40:00,00.98,01.33,00.81
1215697201779,2008-07-10 13:40:01,00.86,01.29,00.79
1215697202780,2008-07-10 13:40:02,00.77,01.41,00.95
1215697203794,2008-07-10 13:40:03,01.00,01.18,01.18
1215697204811,2008-07-10 13:40:04,00.98,01.11,00.86
1215697205811,2008-07-10 13:40:05,01.09,00.98,01.09
1215697206825,2008-07-10 13:40:06,00.81,01.52,01.00
1215697207826,2008-07-10 13:40:07,01.30,01.79,00.93
1215697208826,2008-07-10 13:40:08,01.06,01.25,00.97
1215697209826,2008-07-10 13:40:09,01.10,01.02,01.15
1215697210842,2008-07-10 13:40:10,01.59,01.37,01.17
1215697211858,2008-07-10 13:40:11,00.88,01.19,01.14
1215697212858,2008-07-10 13:40:12,02.69,03.29,07.37
1215697213858,2008-07-10 13:40:13,02.32,04.29,07.24
1215697214888,2008-07-10 13:40:14,03.16,06.37,10.63
1215697215904,2008-07-10 13:40:15,00.95,01.12,00.88
1215697216904,2008-07-10 13:40:16,01.09,01.09,00.96
1215697217905,2008-07-10 13:40:17,00.83,01.54,01.22
1215697218920,2008-07-10 13:40:18,00.95,01.36,00.79
1215697219936,2008-07-10 13:40:19,01.12,01.35,00.86
1215697220936,2008-07-10 13:40:20,00.98,01.07,00.91
